id,name,content,type
3250001,throttling,"Throttling is a design pattern that is used to limit the rate at which a system or component can be used. It is commonly used in cloud computing environments to prevent overuse of resources, such as compute power, network bandwidth, or storage capacity.

There are several ways to implement throttling in a cloud environment:

- Rate limiting: This involves setting a maximum number of requests that can be made to a system or component within a specified time period.
- Resource allocation: This involves allocating a fixed amount of resources to a system or component, and then limiting the use of those resources if they are exceeded.
- Token bucket: This involves using a ""bucket"" of tokens to represent the available resources, and then allowing a certain number of tokens to be ""consumed"" by each request. When the bucket is empty, additional requests are denied until more tokens become available.

Throttling is an important aspect of cloud design, as it helps to ensure that resources are used efficiently and that the system remains stable and available. It is often used in conjunction with other design patterns, such as auto-scaling and load balancing, to provide a scalable and resilient cloud environment.

Visit the following resources to learn more:

- [Throttling - AWS Well-Architected Framework](https://docs.aws.amazon.com/wellarchitected/2022-03-31/framework/rel_mitigate_interaction_failure_throttle_requests.html)
",concept
3250002,backpressure,"Backpressure is a design pattern that is used to manage the flow of data through a system, particularly in situations where the rate of data production exceeds the rate of data consumption. It is commonly used in cloud computing environments to prevent overloading of resources and to ensure that data is processed in a timely and efficient manner.

There are several ways to implement backpressure in a cloud environment:

- Buffering: This involves storing incoming data in a buffer until it can be processed, allowing the system to continue receiving data even if it is temporarily unable to process it.
- Batching: This involves grouping incoming data into batches and processing the batches in sequence, rather than processing each piece of data individually.
- Flow control: This involves using mechanisms such as flow control signals or windowing to regulate the rate at which data is transmitted between systems.

Backpressure is an important aspect of cloud design, as it helps to ensure that data is processed efficiently and that the system remains stable and available. It is often used in conjunction with other design patterns, such as auto-scaling and load balancing, to provide a scalable and resilient cloud environment.

Visit the following resources to learn more:

- [Backpressure - AWS Well-Architected Framework](https://aws.amazon.com/architecture/well-architected/serverless/patterns/backpressure/)
",concept
3250003,loadshifting,"Load shifting is a design pattern that is used to manage the workload of a system by shifting the load to different components or resources at different times. It is commonly used in cloud computing environments to balance the workload of a system and to optimize the use of resources.

There are several ways to implement load shifting in a cloud environment:

- Scheduling: This involves scheduling the execution of tasks or workloads to occur at specific times or intervals.
- Load balancing: This involves distributing the workload of a system across multiple resources, such as servers or containers, to ensure that the workload is balanced and that resources are used efficiently.
- Auto-scaling: This involves automatically adjusting the number of resources that are available to a system based on the workload, allowing the system to scale up or down as needed.

Load shifting is an important aspect of cloud design, as it helps to ensure that resources are used efficiently and that the system remains stable and available. It is often used in conjunction with other design patterns, such as throttling and backpressure, to provide a scalable and resilient cloud environment.

Visit the following resources to learn more:

- [Load Shifting - AWS Well-Architected Framework](https://aws.amazon.com/architecture/well-architected/serverless/patterns/load-shifting/)
",concept
3250004,circuit breaker,"The circuit breaker design pattern is a way to protect a system from failures or excessive load by temporarily stopping certain operations if the system is deemed to be in a failed or overloaded state. It is commonly used in cloud computing environments to prevent cascading failures and to improve the resilience and availability of a system.

A circuit breaker consists of three states: closed, open, and half-open. In the closed state, the circuit breaker allows operations to proceed as normal. If the system encounters a failure or becomes overloaded, the circuit breaker moves to the open state, and all subsequent operations are immediately stopped. After a specified period of time, the circuit breaker moves to the half-open state, and a small number of operations are allowed to proceed. If these operations are successful, the circuit breaker moves back to the closed state; if they fail, the circuit breaker moves back to the open state.

The circuit breaker design pattern is useful for protecting a system from failures or excessive load by providing a way to temporarily stop certain operations and allow the system to recover. It is often used in conjunction with other design patterns, such as retries and fallbacks, to provide a more robust and resilient cloud environment.

Visit the following resources to learn more:

- [Circuit Breaker - AWS Well-Architected Framework](https://docs.aws.amazon.com/wellarchitected/latest/reliability-pillar/rel_mitigate_interaction_failure_graceful_degradation.html)
",concept
32501,instrumentation monitoring telemetry,"Instrumentation refers to the measure of a product's performance, in order to diagnose errors and to write trace information. Instrumentation can be of two types: source instrumentation and binary instrumentation.

Backend monitoring allows the user to view the performance of infrastructure i.e. the components that run a web application. These include the HTTP server, middleware, database, third-party API services, and more.

Telemetry is the process of continuously collecting data from different components of the application. This data helps engineering teams to troubleshoot issues across services and identify the root causes. In other words, telemetry data powers observability for your distributed applications.

Visit the following resources to learn more:

- [What is Instrumentation?](<https://en.wikipedia.org/wiki/Instrumentation_(computer_programming)>)
- [What is Monitoring?](https://www.yottaa.com/performance-monitoring-backend-vs-front-end-solutions/)
- [What is Telemetry?](https://www.sumologic.com/insight/what-is-telemetry/)
",concept
32502,migration strategies,"Learn how to run database migrations effectively. Especially zero downtime multi-phase schema migrations. Rather than make all changes at once, do smaller incremental changes to allow old code, and new code to work with the database at the same time, before removing old code, and finally removing the parts of the database schema which is no longer used.

Visit the following resources to learn more:

- [Databases as a Challenge for Continuous Delivery](https://phauer.com/2015/databases-challenge-continuous-delivery/)
",concept
32503,horizontal vertical scaling,"Horizontal scaling is a change in the **number** of a resource. For example, increasing the number of virtual machines processing messages in a queue. Vertical scaling is a change in the **size/power** of a resource. For example, increasing the memory or disk space available to a machine. Scaling can be applied to databases, cloud resources, and other areas of computing.

Visit the following resources to learn more:

- [Horizontal vs Vertical Scaling](https://touchstonesecurity.com/horizontal-vs-vertical-scaling-what-you-need-to-know/)
- [Scaling In Databases](https://www.geeksforgeeks.org/horizontal-and-vertical-scaling-in-databases/)
- [System Design Basics: Horizontal vs. Vertical Scaling](https://youtu.be/xpDnVSmNFX0)
- [System Design 101](https://www.youtube.com/watch?v=Y-Gl4HEyeUQ)
",concept
32504,observability,"In software development, observability is the measure of how well we can understand a system from the work it does, and how to make it better.

So what makes a system to be ""observable""? It is its ability of producing and collecting metrics, logs and traces in order for us to understand what happens under the hood and identify issues and bottlenecks faster.

You can of course implement all those features by yourself, but there are a lot of softwares out there that can help you with it like Datadog, Sentry and CloudWatch.

Visit the following resources to learn more:

- [DataDog Docs](https://docs.datadoghq.com/)
- [AWS CloudWatch Docs](https://aws.amazon.com/cloudwatch/getting-started/)
- [Sentry Docs](https://docs.sentry.io/)
- [AWS re:Invent 2017: Improving Microservice and Serverless Observability with Monitor](https://www.youtube.com/watch?v=Wx0SHRb2xcI)
- [Observability and Instrumentation: What They Are and Why They Matter](https://newrelic.com/blog/best-practices/observability-instrumentation)
",concept
400,blockchain basics,blockchain basics,topic
40000,what is blockchain,"A blockchain is a decentralized, distributed, and oftentimes public, digital ledger consisting of records called blocks that is used to record transactions across many computers so that any involved block cannot be altered retroactively, without the alteration of all subsequent blocks.

Visit the following resources to learn more:

- [Blockchain Explained](https://www.investopedia.com/terms/b/blockchain.asp)
- [What is decentralization?](https://aws.amazon.com/blockchain/decentralization-in-blockchain/)
- [How does a blockchain work?](https://youtu.be/SSo_EIwHSd4)
- [What Is a Blockchain? | Blockchain Basics for Developers](https://youtu.be/4ff9esY_4aU)
",concept
40001,decentralization,"In blockchain, decentralization refers to the transfer of control and decision-making from a centralized entity (individual, organization, or group thereof) to a distributed network. Decentralized networks strive to reduce the level of trust that participants must place in one another, and deter their ability to exert authority or control over one another in ways that degrade the functionality of the network.

Visit the following resources to learn more:

- [What is decentralization?](https://aws.amazon.com/blockchain/decentralization-in-blockchain/)
- [What is Decentralization in Blockchain?](https://www.blockchain-council.org/blockchain/what-is-decentralization-in-blockchain/)
",concept
40002,why blockchain matters,"The nature of blockchain allows for trustless systems to be built on top of it. Users don’t rely on a centralized group of people, such as a bank, to make decisions and allow transactions to flow through. Because the system is decentralized, users know that transactions will never be denied for non-custodial reasons.

This decentralization enables use-cases that were previously impossible, such as parametric insurance, decentralized finance, and decentralized organizations (DAOs), among a few. This allows developers to build products that provide immediate value without having to go through a bureaucratic process of applications, approvals, and general red tape.

Visit the following resources to learn more:

- [Why Blockchain?](https://www.blockchain.education/blockchain101/blockchain)
- [What Is The Blockchain And Why Does It Matter?](https://www.forbes.com/sites/theyec/2020/05/18/what-is-the-blockchain-and-why-does-it-matter/)
- [Web3/Crypto: Why Bother?](https://continuations.com/post/671863718643105792/web3crypto-why-bother)
- [Why is Blockchain Important and Why Does it Matter](https://www.simplilearn.com/tutorials/blockchain-tutorial/why-is-blockchain-important)
",concept
40003,blockchain structure,"The blockchain gets its name from its underlying structure. The blockchain is organized as a series of “blocks” that are “chained” together.

Understanding blockchain security requires understanding how the blockchain is put together. This requires knowing what the blocks and chains of blockchain are and why they are designed the way that they are.

Visit the following resources to learn more:

- [Blockchain Architecture Basics: Components, Structure, Benefits & Creation](https://mlsdev.com/blog/156-how-to-build-your-own-blockchain-architecture)
- [Blockchain Architecture 101: Components, Structure, and Benefits](https://komodoplatform.com/en/academy/blockchain-architecture-101/)
- [Blockchain structure](https://resources.infosecinstitute.com/topic/blockchain-structure/)
- [Blockchain Basics | Coursera](https://www.coursera.org/lecture/blockchain-basics/blockchain-structure-5rj9Z)
",concept
40004,basic blockchain operations,"Operations in a decentralized networks are the responsibility of the peer participants and their respective computational nodes. These are specific for each type of blockchain.

Visit the following resources to learn more:

- [Blockchain Basics: Structure, Operations, and the Bitcoin Blockchain](https://www.mlq.ai/blockchain-basics/)
- [How Bitcoin blockchain actually work (Video)](https://www.youtube.com/watch?v=bBC-nXj3Ng4)
- [Bitcoin blockchain transactions | Bitcoin Developer](https://developer.bitcoin.org/reference/transactions.html)
- [Ethereum blockchain transactions | ethereum.org](https://ethereum.org/en/developers/docs/transactions/)
- [Blockchain Basics | Coursera](https://www.coursera.org/lecture/blockchain-basics/basic-operations-OxILB)
",concept
40005,applications and uses,"Blockchain applications go far beyond cryptocurrency and bitcoin. With its ability to create more transparency and fairness while also saving businesses time and money, the technology is impacting a variety of sectors in ways that range from how contracts are enforced to making government work more efficiently.

Visit the following resources to learn more:

- [Blockchain Use Cases and Applications by Industry](https://consensys.net/blockchain-use-cases/)
- [Top 10 Real-World Applications Of Blockchain Technology](https://www.blockchain-council.org/blockchain/top-10-real-world-applications-of-blockchain-technology/)
- [Ethereum blockchain transactions | ethereum.org](https://ethereum.org/en/developers/docs/transactions/)
- [E34 Blockchain Applications and Real-World Use Cases Disrupting the Status Quo](https://builtin.com/blockchain/blockchain-applications)
",concept
401,blockchain general knowledge,blockchain general knowledge,topic
40100,storage,"Unlike a centralized server operated by a single company or organization, decentralized storage systems consist of a peer-to-peer network of user-operators who hold a portion of the overall data, creating a resilient file storage sharing system.

Visit the following resources to learn more:

- [Blockchain Storage](https://www.techtarget.com/searchstorage/definition/blockchain-storage)
- [Decentralized Storage](https://ethereum.org/en/developers/docs/storage/)
- [How IPFS works](https://docs.ipfs.tech/concepts/how-ipfs-works/)
",concept
40101,mining and incentive models,"Mining is the process of adding transaction details to the Blockchain, like sender address, hash value, etc. The Blockchain contains all the history of the transactions that have taken place in the past for record purposes and it is stored in such a manner that, it can’t be manipulated.

An Incentive is basically a reward given to a Blockchain Miner for speeding up the transactions and making correct decisions while processing the complete transaction securely.

Visit the following resources to learn more:

- [Blockchain Incentives to Miners](https://www.geeksforgeeks.org/blockchain-incentives-to-miners/)
- [Ethereum Consensus Mechanisms](https://ethereum.org/en/developers/docs/consensus-mechanisms/)
- [Solana Staking Rewards](https://docs.solana.com/implemented-proposals/staking-rewards)
",concept
40102,decentralization vs trust,"Blockchains, cryptocurrency, smart contracts, and oracles have emerged as new technologies for coordinating social and economic activities in a more secure, transparent, and accessible manner. Most importantly, these technologies are revealing the power of cryptographic guarantees—what we often call cryptographic truth—in restoring users’ trust in everyday interactions.

Visit the following resources to learn more:

- [What Crypto Is Really About](https://blog.chain.link/what-crypto-is-really-about/)
- [Ethereum Consensus Mechanisms](https://ethereum.org/en/developers/docs/consensus-mechanisms/)
- [The Superiority of Cryptographic Truth](https://youtu.be/AEtBPbmIRKQ)
",concept
40103,blockchain forking,"A fork happens whenever a community makes a change to the blockchain’s protocol, or basic set of rules.

Visit the following resources to learn more:

- [Blockchain Fork](<https://en.wikipedia.org/wiki/Fork_(blockchain)>)
- [What is a fork?](https://www.coinbase.com/learn/crypto-basics/what-is-a-fork)
- [What Is a Hard Fork?](https://www.investopedia.com/terms/h/hard-fork.asp)
- [Blockchain Forking](https://www.youtube.com/watch?v=bu1gcyyfz7w)",concept
40104,cryptocurrencies,"A cryptocurrency, crypto-currency, or crypto is a digital currency designed to work as a medium of exchange through a blockchain, which is not reliant on any central authority, such as a government or bank, to uphold or maintain it.

Visit the following resources to learn more:

- [What Is Cryptocurrency?](https://www.investopedia.com/terms/c/cryptocurrency.asp)
- [Cryptocurrency: What It Is and How It Works](https://www.nerdwallet.com/article/investing/cryptocurrency)
- [How Cryptocurrency actually works.](https://youtu.be/rYQgy8QDEBI)
",concept
40105,cryptowallets,"A cryptocurrency wallet is an application that functions as a wallet for your cryptocurrency.

Visit the following resources to learn more:

- [What is a Cryptocurrency Wallet?](https://www.investopedia.com/terms/b/bitcoin-wallet.asp)
- [What is a Crypto Wallet? A Beginner’s Guide](https://crypto.com/university/crypto-wallets)
",concept
40106,cryptography,"Cryptography, or cryptology, is the practice and study of techniques for secure communication in the presence of adversarial behavior.

Visit the following resources to learn more:

- [Cryptography](https://en.wikipedia.org/wiki/Cryptography)
- [What is Cryptography](https://www.synopsys.com/glossary/what-is-cryptography.html)
- [Asymmetric Encryption - Simply explained](https://youtu.be/AQDCe585Lnc)
- [What is Cryptography?](https://www.youtube.com/watch?v=6_Cxj5WKpIw)
- [Learn Cryptography](https://www.youtube.com/watch?v=trHox1bN5es)
",concept
40107,consensus protocols,"Consensus for blockchain is a procedure in which the peers of a Blockchain network reach agreement about the present state of the data in the network. Through this, consensus algorithms establish reliability and trust in the Blockchain network.

Visit the following resources to learn more:

- [Consensus Mechanisms in Blockchain: A Beginner’s Guide](https://crypto.com/university/consensus-mechanisms-explained)
- [Consensus Mechanisms](https://ethereum.org/en/developers/docs/consensus-mechanisms/)
- [What Is a Consensus Mechanism?](https://www.coindesk.com/learn/what-is-a-consensus-mechanism/)
",concept
40108,blockchain interoperability,"The concept of “blockchain interoperability” refers to the ability of different blockchain networks to exchange and leverage data between one another and to move unique types of digital assets between the networks’ respective blockchains.

Visit the following resources to learn more:

- [Cross-Chain Interoperability: What it Means for Blockchain](https://www.gemini.com/cryptopedia/why-is-interoperability-important-for-blockchain)
- [Blockchain Interoperability : Why Is Cross Chain Technology Important?](https://101blockchains.com/blockchain-interoperability/)
- [Blockchain Interoperability – Understanding Cross-Chain Technology](https://www.blockchain-council.org/blockchain/blockchain-interoperability/)
",concept
40109,blockchains,blockchains,topic
4010900,solana,"Solana is a public blockchain platform with smart contract functionality. Its native cryptocurrency is SOL.

Visit the following resources to learn more:

- [What is Solana, and how does it work?](https://cointelegraph.com/news/what-is-solana-and-how-does-it-work)
- [Beginners Guide To Solana](https://solana.com/news/getting-started-with-solana-development)
- [Solana Introduction](https://docs.solana.com/introduction)
- [Solana Whitepaper](https://solana.com/solana-whitepaper.pdf)
- [Solana Architecture](https://docs.solana.com/cluster/overview)
- [Start Building Solana!](https://beta.solpg.io/?utm_source=solana.com)
",concept
4010901,ton,"TON is a fully decentralized layer-1 blockchain designed by Telegram to onboard billions of users. It boasts ultra-fast transactions, tiny fees, easy-to-use apps, and is environmentally friendly.

Visit the following resources to learn more:

- [TON Telegram integration highlights synergy of blockchain community](https://cointelegraph.com/news/ton-telegram-integration-highlights-synergy-of-blockchain-community)
- [Start building on The Open Network](https://ton.org/dev)
- [TON Introduction](https://ton.org/docs/learn/introduction)
- [Blockchain analysis](https://ton.org/analysis)
",concept
4010902,evm based,evm based,topic
401090200,ethereum,"Ethereum is a programmable blockchain platform with the capacity to support smart contracts, dapps (decentralized apps), and other DeFi projects. The Ethereum native token is the Ether (ETH), and it’s used to fuel operations on the blockchain.

The Ethereum platform launched in 2015, and it’s now the second largest form of crypto next to Bitcoin (BTC).

Visit the following resources to learn more:

- [Ethereum whitepaper](https://ethereum.org/en/whitepaper/)
- [Intro to Ethereum](https://ethereum.org/en/developers/docs/intro-to-ethereum/)
- [A gentle introduction to Ethereum](https://bitsonblocks.net/2016/10/02/gentle-introduction-ethereum/)
",concept
401090201,polygon,"Polygon, formerly known as the Matic Network, is a protocol that allows anyone to create and exchange value, powered by zero-knowledge technology. Polygon provides multiple solutions including 

- [Polygon zkEVM](https://polygon.technology/polygon-zkevm), a zk powered EVM equivalent L2
- [Polygon PoS](https://polygon.technology/polygon-pos), a proof of stake, EVM compatible side chain
- [Polygon CDK](https://polygon.technology/polygon-cdk), a Chain Development Kit for building customizable zk powered L2s
- [Polygon ID](https://polygon.technology/polygon-id), identity infrastructure and SDKs to facilitate trusted and secure relationships between apps and users

Visit the following resources to learn more:

- [Introduction to Polygon](https://wiki.polygon.technology/)
- [Polygon POL whitepaper](https://polygon.technology/papers/pol-whitepaper)
",concept
401090202,binance smart chain,"Binance Smart Chain (also known as BNB Chain) is a blockchain project initiated by Binance as a central piece of their cryptocurrency exchange, which is the largest exchange in the world in terms of daily trading volume of cryptocurrencies.

Visit the following resources to learn more:

- [Binance whitepaper](https://www.exodus.com/assets/docs/binance-coin-whitepaper.pdf)
- [BNB Chain overview](https://www.binance.com/en/blog/all/bnb-chain-blockchain-for-exchanging-the-world-304219301536473088)
",concept
401090203,gnosis chain,"Gnosis is a blockchain based on Ethereum, which changed the consensus model to PoS to solve major issues on the Ethereum mainnet. While the platform solves problems surrounding transaction fees and speed, it also means that the Gnosis chain is less decentralized, as it is somewhat reliant on the Ethereum chain.

Visit the following resources to learn more:

- [Gnosis whitepaper](https://blockchainlab.com/pdf/gnosis_whitepaper.pdf)
- [Gnosis overview](https://developers.gnosischain.com/#gnosis-chain)
",concept
401090204,huobi eco chain,"Huobi's ECO Chain (also known as HECO) is a public blockchain that provides developers with a low-cost onchain environment for running decentralized apps (dApps) of smart contracts and storing digital assets.

Visit the following resources to learn more:

- [Huobi Eco Chain whitepaper](https://www.hecochain.com/developer.133bd45.pdf)
- [Introduction to HECO Chain](https://docs.hecochain.com/#/)
",concept
401090205,avalanche,"Avalanche describes itself as an “open, programmable smart contracts platform for decentralized applications.” What does that mean? Like many other decentralized protocols, Avalanche has its own token called AVAX, which is used to pay transaction fees and can be staked to secure the network.

Visit the following resources to learn more:

- [Avalanche whitepaper](https://assets.website-files.com/5d80307810123f5ffbb34d6e/6008d7bbf8b10d1eb01e7e16_Avalanche%20Platform%20Whitepaper.pdf)
- [Avalanche official website](https://www.avax.network/)
",concept
401090206,fantom,"Fantom is a decentralized, open-source smart contract platform that supports decentralized applications (dApps) and digital assets. It's one of many blockchain networks built as a faster, more efficient alternative to Ethereum, it uses the proof-of-stake consensus mechanism.

Visit the following resources to learn more:

- [Fantom whitepaper](https://arxiv.org/pdf/1810.10360.pdf)
- [Fantom overview](https://docs.fantom.foundation/)
",concept
401090207,moonbeam moonriver,"Moonbeam is a Polkadot network parachain that promises cross-chain interoperability between the Ethereum and Polkadot . More specifically, Moonbeam is a smart contract platform that enables developers to move dApps between the two networks without having to rewrite code or redeploy infrastructure.

Moonriver is an incentivized testnet. It enables developers to create, test, and adjust their protocols prior to launching on Moonbeam. Moonbeam is the mainnet of the ecosystem.

Visit the following resources to learn more:

- [About Moonbream](https://docs.moonbeam.network/learn/platform/networks/moonbeam/)
- [Moonbeam Vision](https://docs.moonbeam.network/learn/platform/vision/)
",concept
4010903,l2 blockchains,l2 blockchains,topic
401090300,arbitrum,"Arbitrum aims to reduce transaction fees and congestion by moving as much computation and data storage off of Ethereum's main blockchain (layer 1) as it can. Storing data off of Ethereum's blockchain is known as Layer 2 scaling solutions.

Visit the following resources to learn more:

- [Arbitrum whitepaper](https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-kalodner.pdf)
- [Inside Arbitrum](https://developer.offchainlabs.com/docs/Inside_Arbitrum)
",concept
401090301,moonbeam moonriver,"Moonbeam is a Polkadot network parachain that promises cross-chain interoperability between the Ethereum and Polkadot . More specifically, Moonbeam is a smart contract platform that enables developers to move dApps between the two networks without having to rewrite code or redeploy infrastructure.

Moonriver is an incentivized testnet. It enables developers to create, test, and adjust their protocols prior to launching on Moonbeam. Moonbeam is the mainnet of the ecosystem.

Visit the following resources to learn more:

- [About Moonbeam](https://docs.moonbeam.network/learn/platform/networks/moonbeam/)
- [Moonbeam Vision](https://docs.moonbeam.network/learn/platform/vision/)
",concept
402,blockchain oracles,blockchain oracles,topic
40200,hybrid smart contracts,"Hybrid smart contracts combine code running on the blockchain (on-chain) with data and computation from outside the blockchain (off-chain) provided by Decentralized Oracle Networks.

Visit the following resources to learn more:

- [Hybrid Smart Contracts Explained](https://blog.chain.link/hybrid-smart-contracts-explained/)
- [A complete guide to understand hybrid smart contracts](https://www.leewayhertz.com/hybrid-smart-contracts/)
",concept
40201,chainlink,"Chainlink is a decentralized network of oracles that enables smart contracts to securely interact with real-world data and services that exist outside of blockchain networks.

Visit the following resources to learn more:

- [What Is Chainlink? A Beginner’s Guide](https://blog.chain.link/what-is-chainlink/)
- [What Is Chainlink in 5 Minutes](https://www.gemini.com/cryptopedia/what-is-chainlink-and-how-does-it-work)
",concept
40202,oracle networks,"By leveraging many different data sources, and implementing an oracle system that isn’t controlled by a single entity, decentralized oracle networks provide an increased level of security and fairness to smart contracts.

Visit the following resources to learn more:

- [Decentralized Oracle Networks](https://medium.com/coinmonks/decentralized-oracle-networks-9fead28f5fe5)
- [A Beginner’s Guide To The Evolution Of Decentralized Oracle Networks](https://chainlinktoday.com/a-beginners-guide-to-the-evolution-of-decentralized-oracle-networks/)
- [Understanding Oracle Networks](https://coinmetro.com/blog/understanding-oracle-networks/)
",concept
403,smart contracts,smart contracts,topic
40300,programming languages,programming languages,topic
4030000,solidity,"Solidity is an object-oriented programming language created specifically by Ethereum Network team for constructing smart contracts on various blockchain platforms, most notably, Ethereum.

- It's used to create smart contracts that implements business logic and generate a chain of transaction records in the blockchain system.
- It acts as a tool for creating machine-level code and compiling it on the Ethereum Vitural Machine (EVM).

Like any other programming languages, Solidity also has variables, functions, classes, arithmetic operations, string manipulation, and many more.

Visit the following resources to learn more:

- [Solidity Programming Language](https://soliditylang.org/)
- [Solidity Tutorial](https://www.tutorialspoint.com/solidity/index.htm)
- [Solidity Course by FreeCodeCamp](https://www.youtube.com/watch?v=ipwxYa-F1uY)
- [Solidity Course by Dapp University](https://www.youtube.com/watch?v=EhPeHeoKF88)
- [Learn Blockchain, Solidity, and Full Stack Web3 Development](https://youtu.be/gyMwXuJrbJQ)
",concept
4030001,vyper,"Vyper is a contract-oriented, pythonic programming language that targets the Ethereum Virtual Machine (EVM).

Visit the following resources to learn more:

- [Vyper Programming Language](https://vyper.readthedocs.io/en/stable/)
- [Learn Vyper in Y Minutes](https://learnxinyminutes.com/docs/vyper/)
",concept
4030002,rust,"Rust is a multi-paradigm, general-purpose programming language. Rust emphasizes performance, type safety, and concurrency. It is popular on smart contract chains Solana and Polkadot.

Visit the following resources to learn more:

- [Rust Programming Language](https://www.rust-lang.org/)
- [How to write and deploy a smart contract in Rust](https://learn.figment.io/tutorials/write-and-deploy-a-smart-contract-on-near)
",concept
40301,testing,testing,topic
4030100,unit tests,"Unit testing involves testing individual components in a smart contract for correctness. A unit test is simple, quick to run, and provides a clear idea of what went wrong if the test fails.

Visit the following resources to learn more:

- [Smart Contracts Unit Testing](https://ethereum.org/en/developers/docs/smart-contracts/testing/#unit-testing)
- [Tips for Unit Testing Ethereum Smart Contracts in Solidity](https://betterprogramming.pub/a-few-tips-for-unit-testing-ethereum-smart-contract-in-solidity-d804062068fb)
",concept
4030101,integration tests,"Integration tests validate interactions between multiple components. For smart contract testing this can mean interactions between different components of a single contract, or across multiple contracts.

Visit the following resources to learn more:

- [Unit tests vs integration tests | Smart contract testing course](https://youtu.be/GxnX9k8i0zM)
",concept
4030102,code coverage,"Code coverage is a metric that can help you understand how much of your source is tested. It's a very useful metric that can help you assess the quality of your test suite.

Visit the following resources to learn more:

- [Testing Smart Contracts](https://ethereum.org/en/developers/docs/smart-contracts/testing/)
- [Smart Contract Code Coverage In Hardhat](https://medium.com/coinmonks/smart-contract-code-coverage-in-hardhat-d4a5ff6c9ba6)
",concept
40302,deployment,"Unlike other software, smart contracts don’t run on a local computer or a remote server: they live on the blockchain. Thus, interacting with them is different from more traditional applications.

Visit the following resources to learn more:

- [Deploying Smart Contracts](https://ethereum.org/en/developers/docs/smart-contracts/deploying/)
- [Deploying and interacting with smart contracts](https://docs.openzeppelin.com/learn/deploying-and-interacting)
",concept
40303,monitoring,"Monitoring smart contracts allow their authors to view its activity and interactions based on generated transactions and events, allowing verification of the contract's intended purpose and functionality.

Visit the following resources to learn more:

- [Monitoring Smart Contracts](https://consensys.github.io/smart-contract-best-practices/development-recommendations/solidity-specific/event-monitoring/)
",concept
40304,upgrades,"Smart contracts are immutable by default. Once they are created there is no way to alter them, effectively acting as an unbreakable contract among participants. However, for some scenarios, it is desirable to be able to modify them.

Visit the following resources to learn more:

- [Upgrading Ethereum contracts](https://ethereum.org/en/developers/docs/smart-contracts/upgrading/)
- [Upgrading smart contracts](https://docs.openzeppelin.com/learn/upgrading-smart-contracts)
- [What are Upgradable Smart Contracts? Full Guide](https://moralis.io/what-are-upgradable-smart-contracts-full-guide/)
- [Upgrading your Smart Contracts | A Tutorial & Introduction](https://youtu.be/bdXJmWajZRY)
",concept
40305,erc tokens,"An ‘Ethereum Request for Comments’ (ERC) is a document that programmers use to write smart contracts on Ethereum Blockchain. They describe rules in these documents that Ethereum-based tokens must comply with.

While there are several Ethereum standards. These ERC Ethereum standards are the most well-known and popular: ERC-20, ERC-721, ERC-1155, and ERC-777.

Visit the following resources to learn more:

- [What are Ethereum request for comments (ERC) Standards](https://dev.to/envoy_/ks-what-are-ethereum-request-for-comments-erc-standards-5f80)
- [ERC-20 Token Standard](https://ethereum.org/en/developers/docs/standards/tokens/erc-20/)
- [ERC-721 Token Standard (NFTs)](https://decrypt.co/resources/erc-721-ethereum-nft-token-standard)
- [ERC-1155 Token Standard (Multi-Token)](https://decrypt.co/resources/what-is-erc-1155-ethereums-flexible-token-standard)
",concept
40306,crypto wallets,"A cryptocurrency wallet is a device, physical medium, program, or service which stores the public and/or private keys for cryptocurrency transactions. In addition to this basic function of storing the keys, a cryptocurrency wallet more often also offers the functionality of encrypting and/or signing information.

Visit the following resources to learn more:

- [What is a crypto wallet?](https://www.coinbase.com/learn/crypto-basics/what-is-a-crypto-wallet)
- [What is a Crypto Wallet? A Beginner’s Guide](https://crypto.com/university/crypto-wallets)
",concept
40307,ides,"An integrated development environment is a software application that provides comprehensive facilities to computer programmers for software development. An IDE normally consists of at least a source code editor, build automation tools and a debugger.

Visit the following resources to learn more:

- [Integrated Development Environments](https://ethereum.org/en/developers/docs/ides/)
- [Remix - Ethereum IDE & community](https://remix-project.org/)
",concept
40308,crypto faucets,"A crypto faucet lets users earn small crypto rewards by completing simple tasks. The metaphor is based on how even one drop of water from a leaky faucet could eventually fill up a cup. There are various kinds of crypto faucets, including bitcoin (BTC), Ethereum (ETH), and BNB faucets.

Faucets are common in development environments where developers obtain testnet crypto in order develop and test their application prior to mainnet deployment.

Visit the following resources to learn more:

- [What Is A Crypto Faucet?](https://academy.binance.com/en/articles/what-is-a-crypto-faucet)
- [What are crypto faucets and how do they work?](https://cointelegraph.com/news/what-are-crypto-faucets-and-how-do-they-work)
",concept
40309,decentralized storage,"Decentralized storage is where data is stored on a decentralized network across multiple locations by users or groups who are incentivized to join, store, and keep data accessible. The servers used are hosted by people, rather than a single company. Anyone is free to join, they are kept honest due to smart contracts, and they are incentivized to participate via tokens.

Visit the following resources to learn more:

- [What Is Decentralized Storage?](https://medium.com/@ppio/what-is-decentralized-storage-9c4b761942e2)
- [Decentralized Storage](https://ethereum.org/en/developers/docs/storage/)
",concept
404,smart contract frameworks,smart contract frameworks,topic
